From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
6pcu	Q2VE61	unreviewed	Q2VE61_9REOV	Outer capsid protein VP4	VP4	Rotavirus A	274
7pgb	F7IVA8	unreviewed	F7IVA8_RUEPO	Voltage-gated sodium channel	SPO0030	Ruegeria pomeroyi	258
7lm9	D2E265	unreviewed	D2E265_SARS	Spike glycoprotein	S	SARS coronavirus MA15	1255
8wsu	A0A0B5A886	reviewed	GP_SFTSV	Envelopment polyprotein	GP	SFTS phlebovirus	1073
8wsn	F1BWV6	unreviewed	F1BWV6_9VIRU	Envelopment polyprotein		SFTS virus JS4	1073
8wsp	F1BDJ0	unreviewed	F1BDJ0_9VIRU	Envelopment polyprotein		SFTS virus SD4	1073
7kra	Q12431	reviewed	EMC6_YEAST	ER membrane protein complex subunit 6	EMC6 YLL014W L1321	Saccharomyces cerevisiae	108
7kra	P36039	reviewed	EMC3_YEAST	ER membrane protein complex subunit 3	EMC3 AIM27 YKL207W	Saccharomyces cerevisiae	253
7kra	P47133	reviewed	EMC2_YEAST	ER membrane protein complex subunit 2	EMC2 YJR088C J1875	Saccharomyces cerevisiae	292
7kra	P39543	reviewed	SOP4_YEAST	Protein SOP4	SOP4 YJL192C J0351	Saccharomyces cerevisiae	234
7kra	Q12025	reviewed	EMC10_YEAST	Endoplasmic reticulum membrane protein complex subunit 10	EMC10 YDR056C D4219	Saccharomyces cerevisiae	205
6cw3	Q02336	reviewed	ADA2_YEAST	Transcriptional adapter 2	ADA2 YDR448W D9461.33	Saccharomyces cerevisiae	434
5eii	P32447	reviewed	ASF1_YEAST	Histone chaperone ASF1	ASF1 CIA1 YJL115W J0755	Saccharomyces cerevisiae	279
6cw2	Q02336	reviewed	ADA2_YEAST	Transcriptional adapter 2	ADA2 YDR448W D9461.33	Saccharomyces cerevisiae	434
6cw3	Q03330	reviewed	GCN5_YEAST	Histone acetyltransferase GCN5	GCN5 ADA4 SWI9 YGR252W	Saccharomyces cerevisiae	439
6ayz	P32447	reviewed	ASF1_YEAST	Histone chaperone ASF1	ASF1 CIA1 YJL115W J0755	Saccharomyces cerevisiae	279
6az2	P32447	reviewed	ASF1_YEAST	Histone chaperone ASF1	ASF1 CIA1 YJL115W J0755	Saccharomyces cerevisiae	279
7kra	P40540	reviewed	EMC5_YEAST	ER membrane protein complex subunit 5	EMC5 KRE27 YIL027C	Saccharomyces cerevisiae	141
7kra	P53073	reviewed	EMC4_YEAST	ER membrane protein complex subunit 4	EMC4 YGL231C	Saccharomyces cerevisiae	190
7kra	P25574	reviewed	EMC1_YEAST	ER membrane protein complex subunit 1	EMC1 YCL045C YCL315 YCL45C	Saccharomyces cerevisiae	760
5uea	P32447	reviewed	ASF1_YEAST	Histone chaperone ASF1	ASF1 CIA1 YJL115W J0755	Saccharomyces cerevisiae	279
5uek	P32447	reviewed	ASF1_YEAST	Histone chaperone ASF1	ASF1 CIA1 YJL115W J0755	Saccharomyces cerevisiae	279
5ucb	P32447	reviewed	ASF1_YEAST	Histone chaperone ASF1	ASF1 CIA1 YJL115W J0755	Saccharomyces cerevisiae	279
6cw2	Q03330	reviewed	GCN5_YEAST	Histone acetyltransferase GCN5	GCN5 ADA4 SWI9 YGR252W	Saccharomyces cerevisiae	439
7m7e	Q03133	reviewed	ERYA3_SACER	Erythronolide synthase EryA3	eryA	Saccharopolyspora erythraea	3172
8ee0	Q03131	reviewed	ERYA1_SACER	Erythronolide synthase EryA1	eryA	Saccharopolyspora erythraea	3491
8tpw	Q03132	reviewed	ERYA2_SACER	Erythronolide synthase EryA2	eryA	Saccharopolyspora erythraea	3567
7m7e	Q03132	reviewed	ERYA2_SACER	Erythronolide synthase EryA2	eryA	Saccharopolyspora erythraea	3567
6c9u	Q03132	reviewed	ERYA2_SACER	Erythronolide synthase EryA2	eryA	Saccharopolyspora erythraea	3567
8ee1	Q03131	reviewed	ERYA1_SACER	Erythronolide synthase EryA1	eryA	Saccharopolyspora erythraea	3491
6w7s	Q03131	reviewed	ERYA1_SACER	Erythronolide synthase EryA1	eryA	Saccharopolyspora erythraea	3491
7m7f	Q03133	reviewed	ERYA3_SACER	Erythronolide synthase EryA3	eryA	Saccharopolyspora erythraea	3172
8tjo	Q03133	reviewed	ERYA3_SACER	Erythronolide synthase EryA3	eryA	Saccharopolyspora erythraea	3172
7m7f	Q03131	reviewed	ERYA1_SACER	Erythronolide synthase EryA1	eryA	Saccharopolyspora erythraea	3491
7s6c	Q03132	reviewed	ERYA2_SACER	Erythronolide synthase EryA2	eryA	Saccharopolyspora erythraea	3567
8tpx	Q03132	reviewed	ERYA2_SACER	Erythronolide synthase EryA2	eryA	Saccharopolyspora erythraea	3567
6wh9	Q03131	reviewed	ERYA1_SACER	Erythronolide synthase EryA1	eryA	Saccharopolyspora erythraea	3491
7s6d	Q03132	reviewed	ERYA2_SACER	Erythronolide synthase EryA2	eryA	Saccharopolyspora erythraea	3567
6mlk	Q03133	reviewed	ERYA3_SACER	Erythronolide synthase EryA3	eryA	Saccharopolyspora erythraea	3172
8tjn	Q03133	reviewed	ERYA3_SACER	Erythronolide synthase EryA3	eryA	Saccharopolyspora erythraea	3172
7wr9	P59594	reviewed	SPIKE_SARS	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus	1255
8kds	P59594	reviewed	SPIKE_SARS	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus	1255
7akj	P59594	reviewed	SPIKE_SARS	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus	1255
7y3n	P59594	reviewed	SPIKE_SARS	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus	1255
2ghw	P59594	reviewed	SPIKE_SARS	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus	1255
7jn5	P59594	reviewed	SPIKE_SARS	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus	1255
2dd8	P59594	reviewed	SPIKE_SARS	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus	1255
8kdm	P59594	reviewed	SPIKE_SARS	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus	1255
7rks	P59594	reviewed	SPIKE_SARS	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus	1255
8kek	P59594	reviewed	SPIKE_SARS	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus	1255
8kdt	P59594	reviewed	SPIKE_SARS	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus	1255
7sg4	P59594	reviewed	SPIKE_SARS	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus	1255
8yww	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7chf	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7sof	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8f0i	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7bel	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7x08	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7czx	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7t72	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8dlz	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7byr	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7jva	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
6zdh	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7ly0	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7kmi	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7mzm	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8pq2	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7c01	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7rbu	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7zf8	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7lq7	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8vcr	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7k8u	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7n4l	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7zrc	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7e5r	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7m6i	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7mf1	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7mzh	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7d4g	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8d0z	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7u9o	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7xsb	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7ukm	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7mzn	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7tat	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7f6y	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7vmu	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7wp1	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7k4n	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7cho	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7n62	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7jwb	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7kmg	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7cak	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8dzh	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7wth	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7dzy	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7m3i	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7mlz	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8ekd	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8hhy	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7lqv	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7e9n	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7te1	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7vzt	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7mw2	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
6xcm	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7xj9	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7yvf	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7f62	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8eoo	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7cwn	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7kfw	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7y6l	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7prz	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8gto	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7vyr	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7y0w	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8dxs	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7zbu	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8dcc	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7enf	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7ru3	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8ywx	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7m7w	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7u2e	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7lrt	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7f3q	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7nx7	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7djz	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7mzi	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
6yla	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7neg	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8xe9	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7cwl	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8keq	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7r8l	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8hc8	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8dls	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7jx3	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7faf	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7xxl	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8xea	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7tb8	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8cin	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7bem	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8fxb	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7e3k	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8zhe	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8v4f	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7dzx	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7wef	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8hrd	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7l2e	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7woa	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7z0y	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7rr0	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7whd	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7mw3	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7wnb	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7r7n	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7kn4	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7q9j	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7wp0	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7tn0	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7czu	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8r1c	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8tm1	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8i4g	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7xsa	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7klg	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7x8y	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7xdl	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7pqy	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7cyv	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7ps5	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7zf3	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7ukl	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7lxw	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7r8o	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8i3u	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7l7e	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
6w41	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7p40	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8dlx	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7ul1	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8yz5	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7x7o	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8xsi	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7xil	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7neh	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7laa	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7xck	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7nd5	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7mw6	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7m6d	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7v27	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8dlr	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7nxb	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8f2j	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7dx4	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7czy	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8bse	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7dpm	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7yow	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8d48	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7ch4	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7jmw	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
7wed	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8siq	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8hld	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
8dad	P0DTC2	reviewed	SPIKE_SARS2	Spike glycoprotein	S 2	Severe acute respiratory syndrome coronavirus 2	1273
